Row_name	aggregation_type
Count_Nuclei	sum
Count_PunctaMito	sum
Mean_Cytoplasm_AreaShape_Area	mean
Mean_Cytoplasm_Children_PunctaMito_Count	sum
Mean_Nuclei_Intensity_MedianIntensity_OrigMito	mean
Mean_Nuclei_Intensity_MedianIntensity_OrigNucleai	mean
Mean_PunctaMito_Intensity_MedianIntensity_OrigMito	mean
Mean_PunctaMito_Intensity_MedianIntensity_OrigNucleai	mean
Mean_RelateObjects_Parent_PunctaMito	sum
Median_Cytoplasm_AreaShape_Area	mean
Median_Cytoplasm_Children_PunctaMito_Count	sum
Median_Nuclei_Intensity_MedianIntensity_OrigMito	mean
Median_RelateObjects_Parent_PunctaMito	sum
